,A'_MPI,A'_AW,A'_V,A'_R,A'_Rb,A'_ρ,A'_SA,A'_EN,A'_SE,A'_BT,A'_VIP,A'_VEA,A'_ME,A'_CP,A'_Ha,A'_So,A'_EI,A'_NI,A'_DMD,A'_DM
EA,5.41010136,46.0917,77.09811,2.640296812,4.991109286,0.9927,95.43125,2.963739861,5.397679968,-45.32231162,-3.792,-17.0207,-10.4068,10.4068,13.228,0.0756,4.0936,-6.0148,3.791271,1.491452006
MA,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312
GA,5.32558128,60.07849,78.07972,2.651454974,5.01220222,1.2777,95.78545,3.002318814,5.415763599,-45.27275668,-4.1208,-15.8765,-9.9987,9.9987,11.7557,0.0851,4.2521,-4.3137,0.001995,0.000784815
PA,4.88854293,60.11832,100.36914,2.882957511,5.449825162,0.9946,116.96416,5.191943599,6.618802131,-42.46016822,-3.7397,-15.666,-9.7028,9.7028,11.9263,0.0838,3.9469,-4.7033,6.227586,2.449876475
i-BA,4.61775882,74.14494,122.58399,3.081646073,5.825417907,1.0044,133.28817,6.746955623,7.709529582,-40.46274433,-3.657,-14.8884,-9.2727,9.2727,11.2314,0.089,3.8278,-4.4539,6.400703,2.51797915
ALA,5.02224533,58.10244,92.92905,2.809885824,5.311693429,1.0382,109.96168,4.49173697,6.194527475,-43.35958857,-5.7594,-14.6444,-10.2019,10.2019,8.885,0.1125,5.857,-3.2754,5.184999,2.039732101
4-FPEA,3.86714319,140.17834,179.3911,3.498687379,6.613775765,1.2976,183.49663,11.00917765,11.95623853,-34.98789011,-3.777,-11.8291,-7.8031,7.8031,8.0521,0.1242,3.7808,-0.885,16.599525,6.530104249
Anyl,4.44579628,94.13464,128.0326,3.126643476,5.91047916,1.2209,137.15357,7.100980091,7.988642171,-40.0079974,-4.2329,-13.6284,-8.9306,8.9306,9.3956,0.1064,4.2444,-2.5126,6.993385,2.751134933
BBA,3.92576087,187.05685,180.00924,3.502701327,6.621363567,1.7256,181.9141,10.884489,11.80183952,-35.14805356,-3.5184,-12.1197,-7.819,7.819,8.6012,0.1163,3.554,-1.1704,14.609392,5.747203777
F3EA,5.11699356,100.06309,92.28513,2.803380729,5.299396463,1.8005,108.88338,4.381953449,6.131520648,-43.50060627,-4.2093,-13.8366,-9.023,9.023,9.6273,0.1039,4.2283,-6.8245,9.197714,3.61829819
