,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_EA,B_R,B_RC,B_IR
Al,26.982,1.64,1.5,1.47,3.23,577.6,1817,2745,4.2,3,933,2740,290.8,10.5,326.4,0.5,125,0.76
As,74.922,2.27,2,2.2,5.3,946.5,1798,2735,4.8,5,1090,889,31.9,27.7,302.5,0.46,121,1
Au,196.967,1.19,2.4,1.42,5.77,890.1,1973,2895,5.15,11,1337,3080,343.1,12.8,366.1,1.11,134,1.4
Be,9.012,1.45,1.5,1.47,4.9,899.4,1757,14848,5.05,2,1550,3243,308.8,15,324.3,0.3,89,1.02
Cd,112.411,1.4,1.7,1.46,4.33,867.7,1631,3616,4.05,12,594,1038,100,6.4,112,0.93,141,1.81
Co,58.933,1.72,1.9,1.7,4.3,758.4,1646,3232,5.1,9,1768,3143,382.4,16.3,424.7,0.62,116,0.605
Cr,51.996,2,1.6,1.56,3.72,652.8,1592,2987,4.65,6,2130,2945,341.8,21,396.6,0.62,118,0.59
Cu,63.546,1.08,1.9,1.75,4.48,745.4,1958,3554,4.45,11,1356,2840,306.7,13,338.3,0.96,117,0.46
Fe,55.847,1.67,1.8,1.64,4.06,759.3,1561,2957,4.93,8,1808,3023,340.2,13.8,416.3,0.59,116,0.62
Ga,69.723,1.7,1.6,1.82,3.2,578.8,1979,2963,4.1,3,303,2676,270.3,5.59,277,0.63,125,0.5
Ge,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1
Hf,178.49,1.73,1.3,1.23,3.8,675.4,1438,2248,3.6,4,2495,5470,570.7,25,619.2,0.8,144,0.9
Hg,200.59,1.49,1.9,1.44,4.91,1007,1809,3300,4.2,12,234,629.73,59.11,2.3,61.3,0.97,144,0.72
Mg,24.305,1.31,1.2,1.23,8.3,737.7,1451,7733,3.45,2,922,1363,127.6,8.9,147.7,0.63,136,0.69
Mn,54.938,2.04,1.5,1.6,3.72,717.4,1509,3248,4.45,7,1518,2235,220.5,13.4,280.7,0.6,117,0.76
Mo,95.94,1.94,1.8,1.3,3.9,684.9,1558,2621,4.65,6,2890,4885,589.9,28,658.1,0.75,129,0.97
Nb,92.906,2.03,1.6,1.23,4,663.8,1382,2416,4.05,5,2741,5015,680.19,26.8,725.9,0.77,134,1.67
Ni,58.69,1.76,1.9,1.75,4.4,736.7,1753,3393,5.2,10,1726,3005,374.8,17.2,429.7,0.59,115,1.034
Pb,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938
Pd,106.42,2.08,2.2,1.35,4.45,804.7,1875,3177,5.45,10,1825,3413,361.5,17.6,378.2,0.85,128,0.923
Pt,195.08,1.91,2.2,1.44,5.6,868.4,1791,2799,5.65,10,2045,4100,469,19.7,565.3,0.9,129,0.869
Rh,102.906,1.99,2.2,1.45,4.3,719.8,1744,2997,5.4,9,2239,4000,494.3,21.6,556.9,0.75,125,0.62
Ru,101.07,1.97,2.2,1.42,4.5,711.1,1617,2747,5.4,8,2583,4173,567,25.5,642.7,0.69,124,0.63
Sb,121.75,2.14,1.9,1.82,4.85,833.7,1595,2441,4.4,5,904,1908,165.8,39.7,262.3,0.57,141,0.625
Sc,44.956,1.5,1.3,1.2,3.34,631,1235,2389,3.25,3,1812,3104,376.1,15.77,377.8,0.8,144,0.85
Si,28.086,1.98,1.8,1.74,4.77,786.5,1577,3232,4.7,4,1683,2628,383.3,50.6,455.6,0.42,117,1.5
Sn,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03
Te,127.6,2.38,2.1,2.01,5.49,869.2,1795,2698,0,6,723,1263,104.6,34.98,196.7,0.51,137,1.43
Ti,47.88,1.86,1.5,1.32,3.45,658,1310,2653,3.8,4,1933,3560,425.5,18.8,469.9,0.68,132,0.972
V,50.942,2.22,1.6,1.45,3.6,650.3,1414,2828,4.25,5,2163,3650,459.7,17.5,514.2,0.65,122,0.887
Zn,65.39,1.44,1.6,1.66,4.45,906.4,1733,3833,4.1,12,693,1180,114.2,7.28,130.7,0.78,125,0.925
Zr,91.224,1.7,1.4,1.22,3.64,660,1267,2218,3.45,4,2125,4650,566.7,19.2,608.8,0.8,145,1
