new ID,formula,bandgap,n,orientation,A'_MPI,A'_AW,A'_V,A'_R,A'_Rb,A'_ρ,A'_SA,A'_EN,A'_SE,A'_BT,A'_VIP,A'_VEA,A'_ME,A'_CP,A'_Ha,A'_So,A'_EI,A'_NI,A'_DMD,A'_DM,A_MPI,A_AW,A_V,A_R,A_Rb,A_ρ,A_SA,A_EN,A_SE,A_BT,A_VIP,A_VEA,A_ME,A_CP,A_Ha,A_So,A_EI,A_NI,A_DMD,A_DM,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_EA,B_R,B_RC,B_IR,X_W,X_E(m&b,X_E(p),X_E(a&R) ,X_E,X_EI1,X_EI2,X_EI3,X_Tm,X_Tb,X_EV,X_EM,X_EA,X_R,X_RC,X_IR
67,[BrC6H4(CH2)2NH3]2SnI4,2.09,1,1,3.89514948,201.08347,198.41065,3.618204983,6.839706962,1.6829,190.24341,11.53482446,12.6294902,-34.31269308,11.9334,3.4372,7.6853,-7.6853,8.4962,0.1177,3.4759,-1.5023,8.265385,3.251528324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
106,[CH3(CH2)3CH(C2H5)CH2NH3]2PbI4,2.38,1,1,3.78624568,116.22479,191.61435,3.576411787,6.760702811,1.0072,194.36502,11.85136427,13.05274019,-33.90609547,12.9339,3.61,8.2719,-8.2719,9.3239,0.1073,3.6693,-2.5033,12.973904,5.103817467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
78,[C5H4NCH2NH3][CH3NH3]Pb2I7,1.88,2,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
76,[C5H4NCH2NH3][CH3NH3]2Pb3I10,1.73,3,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
77,[C5H4NCH2NH3][CH3NH3]3Pb4I13,1.66,4,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
74,[C5H4N(CH2)NH3]PbBr4,2.79,1,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,79.904,2.83,2.8,2.74,7.59,1139.9,2103,3473,266,331.9,30.5,10.57,111.9,0.37,114,0.4
75,[C5H4N(CH2)NH3]PbI4,2.06,1,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
173,[NH3C6H4(CH2)2NH3]PbBr4,3.24,1,1,7.46341421,138.21046,185.4055,3.537358246,6.686877591,1.2378,189.60423,11.48542944,12.564665,-34.37614134,16.0625,6.7361,11.3993,-11.3993,9.3263,0.1072,6.9665,-5.1506,6.471802,2.545948859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,79.904,2.83,2.8,2.74,7.59,1139.9,2103,3473,266,331.9,30.5,10.57,111.9,0.37,114,0.4
159,[FC6H4(CH2)2NH3]2SnI4,1.97,1,1,3.8545905,140.17834,178.4067,3.492276012,6.601655977,1.3047,181.92451,10.88531098,11.8028508,-35.14699773,11.8512,3.8446,7.8479,-7.8479,8.0066,0.1249,3.8461,-0.886,16.391761,6.448371755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
65,[(CH3)3N(CH2)2NH3]SnI4,1.85,1,1,8.37751358,104.19414,156.46913,3.342830813,6.319150876,1.1058,159.72559,9.075491624,9.777852515,-37.47172344,20.5801,9.1359,14.858,-14.858,11.4442,0.0874,9.6451,-9.9617,7.115587,2.799208104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
