,n,ori,A'_MPI,A'_AW,A'_V,A'_¦Ñ,A'_VIP,A'_Ha,A'_EI,A'_NI,A'_DMD,A_MPI,A_EN,A_VIP,A_DMD,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_R,B_IR,X_W,X_IR
0,1,1,3.89514948,201.08347,198.41065,1.6829,11.9334,8.4962,3.4759,-1.5023,8.265385,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
1,1,1,3.78624568,116.22479,191.61435,1.0072,12.9339,9.3239,3.6693,-2.5033,12.973904,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
2,2,1,4.2832604,109.14929,145.52901,1.2454,-5.7,6.9392,6.0584,-1.7667,10.110139,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
3,3,1,4.2832604,109.14929,145.52901,1.2454,-5.7,6.9392,6.0584,-1.7667,10.110139,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
4,4,1,4.2832604,109.14929,145.52901,1.2454,-5.7,6.9392,6.0584,-1.7667,10.110139,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
5,1,1,4.2832604,109.14929,145.52901,1.2454,-5.7,6.9392,6.0584,-1.7667,10.110139,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
6,1,1,4.2832604,109.14929,145.52901,1.2454,-5.7,6.9392,6.0584,-1.7667,10.110139,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
7,1,1,7.46341421,138.21046,185.4055,1.2378,16.0625,9.3263,6.9665,-5.1506,6.471802,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
8,1,1,3.8545905,140.17834,178.4067,1.3047,11.8512,8.0066,3.8461,-0.886,16.391761,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
9,1,1,8.37751358,104.19414,156.46913,1.1058,20.5801,11.4442,9.6451,-9.9617,7.115587,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
